1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
1800, 7000
