2026/05/19 15:06:37.344, 1470, 48, 13.07, 0
2026/05/19 15:06:37.373, 1470, 48, 13.07, 0
2026/05/19 15:06:37.401, 1470, 48, 13.07, 0
2026/05/19 15:06:37.429, 1470, 48, 13.31, 0
2026/05/19 15:06:37.463, 1470, 48, 13.31, 0
2026/05/19 15:06:37.493, 1470, 48, 13.31, 0
2026/05/19 15:06:37.526, 1470, 48, 13.28, 0
2026/05/19 15:06:37.552, 1470, 48, 13.28, 0
2026/05/19 15:06:37.580, 1470, 48, 13.28, 0
2026/05/19 15:06:37.611, 1470, 48, 13.25, 0
2026/05/19 15:06:37.640, 1470, 48, 13.25, 0
2026/05/19 15:06:37.668, 1470, 48, 13.25, 0
2026/05/19 15:06:37.698, 1470, 48, 13.25, 0
2026/05/19 15:06:37.725, 1470, 48, 13.26, 0
2026/05/19 15:06:37.752, 1470, 48, 13.26, 0
2026/05/19 15:06:37.780, 1470, 48, 13.26, 0
2026/05/19 15:06:37.811, 1470, 48, 13.25, 0
2026/05/19 15:06:37.841, 1470, 48, 13.25, 0
2026/05/19 15:06:37.868, 1470, 48, 13.25, 0
2026/05/19 15:06:37.896, 1470, 48, 13.25, 0
2026/05/19 15:06:37.925, 1470, 48, 13.25, 0
2026/05/19 15:06:37.954, 1470, 48, 13.25, 0
2026/05/19 15:06:37.982, 1470, 48, 13.25, 0
2026/05/19 15:06:38.009, 1470, 48, 13.25, 0
2026/05/19 15:06:38.039, 1470, 48, 13.25, 0
2026/05/19 15:06:38.070, 1470, 48, 13.25, 0
2026/05/19 15:06:38.099, 1470, 48, 13.25, 0
2026/05/19 15:06:38.127, 1470, 48, 13.26, 0
2026/05/19 15:06:38.156, 1470, 48, 13.26, 0
2026/05/19 15:06:38.185, 1470, 48, 13.26, 0
2026/05/19 15:06:38.215, 1470, 48, 13.25, 0
2026/05/19 15:06:38.245, 1470, 48, 13.25, 0
2026/05/19 15:06:38.274, 1470, 48, 13.25, 0
2026/05/19 15:06:38.305, 1470, 48, 13.26, 0
2026/05/19 15:06:38.333, 1470, 48, 13.26, 0
2026/05/19 15:06:38.361, 1470, 48, 13.26, 0
2026/05/19 15:06:38.392, 1470, 48, 13.26, 0
2026/05/19 15:06:38.419, 1470, 48, 13.26, 0
2026/05/19 15:06:38.447, 1470, 48, 13.26, 0
2026/05/19 15:06:38.477, 1470, 48, 13.26, 0
2026/05/19 15:06:38.506, 1470, 48, 13.26, 0
2026/05/19 15:06:38.536, 1470, 48, 13.26, 0
2026/05/19 15:06:38.565, 1470, 48, 13.26, 0
2026/05/19 15:06:38.593, 1470, 48, 13.26, 0
2026/05/19 15:06:38.621, 1470, 48, 13.26, 0
2026/05/19 15:06:38.651, 1470, 48, 13.26, 0
2026/05/19 15:06:38.682, 1470, 48, 13.26, 0
2026/05/19 15:06:38.710, 1470, 48, 13.27, 0
2026/05/19 15:06:38.739, 1470, 48, 13.27, 0
2026/05/19 15:06:38.769, 1470, 48, 13.27, 0
